Feature set,Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
Without PageValues,17,XGBoost,0.8437415517707488,0.45,0.0472027972027972,0.08544303797468354,0.7814889379887782,0.3700747690214989,0.11312554242742397
Without PageValues,17,LightGBM,0.6574749932414166,0.2782386726228462,0.7622377622377622,0.40766713417484807,0.7850293294808803,0.37114771038520145,0.1936790204356079
Without PageValues,27,Logistic regression,0.631522032981887,0.25265791119449654,0.7062937062937062,0.3721787194841087,0.7270423851811764,0.2908688267029485,0.21320680029644426
Without PageValues,27,Random forest,0.8156258448229251,0.392578125,0.3513986013986014,0.37084870848708484,0.77325225142622,0.36603497840703836,0.13257662546895016
Without PageValues,27,Gradient boosting,0.8440118951067856,0.4731182795698925,0.07692307692307693,0.13233082706766916,0.7651332517817968,0.3425365680936402,0.11602091485153698
Without PageValues,27,XGBoost,0.8464449851311165,0.5333333333333333,0.055944055944055944,0.10126582278481013,0.7610712360872259,0.34774779017742374,0.11570897407374411
Without PageValues,27,LightGBM,0.6618004866180048,0.27997407647440054,0.7552447552447552,0.4085106382978723,0.7662173132272269,0.3465495259642983,0.1962463171283997
Without PageValues,37,Logistic regression,0.6312516896458502,0.2608695652173913,0.7552447552447552,0.3877917414721723,0.7496064057464762,0.32836168242758307,0.21167281481433417
Without PageValues,37,Random forest,0.8231954582319546,0.42115384615384616,0.38286713286713286,0.4010989010989011,0.7850198250741902,0.3895527888774091,0.1293610087394447
Without PageValues,37,Gradient boosting,0.8426601784266018,0.42424242424242425,0.04895104895104895,0.0877742946708464,0.7768018677836395,0.3526952737155512,0.11435491089706622
Without PageValues,37,XGBoost,0.8445525817788592,0.46153846153846156,0.03146853146853147,0.058919803600654665,0.7776080651040677,0.3590792367984263,0.11373282883805937
Without PageValues,37,LightGBM,0.6650446066504461,0.28525434642627173,0.7744755244755245,0.41694117647058826,0.7799685124597181,0.3642159105420698,0.19344933879747359
Without PageValues,47,Logistic regression,0.6342254663422546,0.25486503452605147,0.7097902097902098,0.37505773672055426,0.7438942573256613,0.31762013298151537,0.21225999215549068
Without PageValues,47,Random forest,0.8161665314949986,0.39575289575289574,0.3583916083916084,0.3761467889908257,0.7779496646621686,0.3712062060070735,0.13141007106048974
Without PageValues,47,Gradient boosting,0.8399567450662341,0.3611111111111111,0.045454545454545456,0.08074534161490683,0.7733011711665373,0.3445743034670898,0.11486071852876592
Without PageValues,47,XGBoost,0.8418491484184915,0.38181818181818183,0.03671328671328671,0.06698564593301436,0.776172620152473,0.3486310888744193,0.11431852547001736
Without PageValues,47,LightGBM,0.668559070018924,0.2845849802371542,0.7552447552447552,0.4133971291866029,0.7818352897502243,0.3572025784880342,0.19282938480370027
Without PageValues,57,Logistic regression,0.6288185996215193,0.2532347504621072,0.7185314685314685,0.3744874715261959,0.737364170846742,0.30134382031712603,0.2122021094965732
Without PageValues,57,Random forest,0.8183292781832928,0.39361702127659576,0.32342657342657344,0.3550863723608445,0.771291548234305,0.3697748517909666,0.13137650976428233
Without PageValues,57,Gradient boosting,0.842389835090565,0.417910447761194,0.04895104895104895,0.08763693270735524,0.7716253206339552,0.3578645725788005,0.11436486172788553
Without PageValues,57,XGBoost,0.8467153284671532,0.5609756097560976,0.04020979020979021,0.07504078303425775,0.7717620163654701,0.3626331794827618,0.1140752514243186
Without PageValues,57,LightGBM,0.6655852933225196,0.2781854569713142,0.7290209790209791,0.40270400772573633,0.7727378952994559,0.3587556251925449,0.1937262941021642
Without PageValues,67,Logistic regression,0.6412543930792106,0.26212980466288593,0.7272727272727273,0.3853635942566003,0.7457643891126463,0.3109124016432553,0.20899414563091667
Without PageValues,67,Random forest,0.8142741281427412,0.3843058350100604,0.3339160839160839,0.35734331150608045,0.7846698392748921,0.3776825366536058,0.12973348159048234
Without PageValues,67,Gradient boosting,0.8399567450662341,0.35294117647058826,0.04195804195804196,0.075,0.7820938655204726,0.35431892326662423,0.11395515324018587
Without PageValues,67,XGBoost,0.8426601784266018,0.4107142857142857,0.04020979020979021,0.0732484076433121,0.7843894592775308,0.3645459229213432,0.11297297329883767
Without PageValues,67,LightGBM,0.669640443363071,0.2859025032938076,0.7587412587412588,0.415311004784689,0.7840022944755914,0.36873641871765994,0.19192605627405432
Without PageValues,77,Logistic regression,0.6415247364152473,0.2628930817610063,0.7307692307692307,0.3866790009250694,0.7549137782588373,0.33430328327448167,0.20641898452780216
Without PageValues,77,Random forest,0.8280616382806164,0.4298245614035088,0.34265734265734266,0.38132295719844356,0.7943710430918619,0.3739903683491867,0.12677809402064158
Without PageValues,77,Gradient boosting,0.8429305217626385,0.4430379746835443,0.06118881118881119,0.10752688172043011,0.7859772542775421,0.3595142036239112,0.1136159111660422
Without PageValues,77,XGBoost,0.8450932684509327,0.49206349206349204,0.05419580419580419,0.09763779527559055,0.7885722368453421,0.3717222088335122,0.11246769673456085
