Curve,x,y,Model
ROC,0.021746082507195393,0.3688811188811189,Logistic regression
ROC,0.021746082507195393,0.3706293706293706,Logistic regression
ROC,0.02238567316917173,0.3706293706293706,Logistic regression
ROC,0.02238567316917173,0.3723776223776224,Logistic regression
ROC,0.023345059162136233,0.3723776223776224,Logistic regression
ROC,0.023345059162136233,0.3776223776223776,Logistic regression
ROC,0.0236648544931244,0.3776223776223776,Logistic regression
ROC,0.0236648544931244,0.3793706293706294,Logistic regression
ROC,0.023984649824112567,0.3793706293706294,Logistic regression
ROC,0.023984649824112567,0.3811188811188811,Logistic regression
ROC,0.024304445155100735,0.3811188811188811,Logistic regression
ROC,0.024304445155100735,0.39335664335664333,Logistic regression
ROC,0.024624240486088904,0.39335664335664333,Logistic regression
ROC,0.024624240486088904,0.3968531468531469,Logistic regression
ROC,0.02494403581707707,0.3968531468531469,Logistic regression
ROC,0.02494403581707707,0.3986013986013986,Logistic regression
ROC,0.025583626479053406,0.3986013986013986,Logistic regression
ROC,0.025583626479053406,0.40384615384615385,Logistic regression
ROC,0.025903421810041575,0.40384615384615385,Logistic regression
ROC,0.025903421810041575,0.4090909090909091,Logistic regression
ROC,0.02622321714102974,0.4090909090909091,Logistic regression
ROC,0.02622321714102974,0.41083916083916083,Logistic regression
ROC,0.02654301247201791,0.41083916083916083,Logistic regression
ROC,0.02654301247201791,0.4230769230769231,Logistic regression
ROC,0.026862807803006077,0.4230769230769231,Logistic regression
ROC,0.026862807803006077,0.42482517482517484,Logistic regression
ROC,0.02750239846498241,0.42482517482517484,Logistic regression
ROC,0.02750239846498241,0.43006993006993005,Logistic regression
ROC,0.02782219379597058,0.43006993006993005,Logistic regression
ROC,0.02782219379597058,0.4370629370629371,Logistic regression
ROC,0.028141989126958745,0.4370629370629371,Logistic regression
ROC,0.028141989126958745,0.4423076923076923,Logistic regression
ROC,0.028461784457946913,0.4423076923076923,Logistic regression
ROC,0.028461784457946913,0.44405594405594406,Logistic regression
ROC,0.029421170450911416,0.44405594405594406,Logistic regression
ROC,0.029421170450911416,0.4458041958041958,Logistic regression
ROC,0.029740965781899584,0.4458041958041958,Logistic regression
ROC,0.029740965781899584,0.4493006993006993,Logistic regression
ROC,0.030060761112887753,0.4493006993006993,Logistic regression
ROC,0.030060761112887753,0.45104895104895104,Logistic regression
ROC,0.030380556443875918,0.45104895104895104,Logistic regression
ROC,0.030380556443875918,0.45454545454545453,Logistic regression
ROC,0.030700351774864087,0.45454545454545453,Logistic regression
ROC,0.030700351774864087,0.458041958041958,Logistic regression
ROC,0.03133994243684042,0.458041958041958,Logistic regression
ROC,0.03133994243684042,0.4597902097902098,Logistic regression
ROC,0.03165973776782859,0.4597902097902098,Logistic regression
ROC,0.03165973776782859,0.46503496503496505,Logistic regression
ROC,0.03197953309881676,0.46503496503496505,Logistic regression
ROC,0.03197953309881676,0.4772727272727273,Logistic regression
ROC,0.03229932842980492,0.4772727272727273,Logistic regression
ROC,0.03229932842980492,0.479020979020979,Logistic regression
ROC,0.032619123760793095,0.479020979020979,Logistic regression
ROC,0.032619123760793095,0.4807692307692308,Logistic regression
ROC,0.03389830508474576,0.4807692307692308,Logistic regression
ROC,0.03389830508474576,0.4825174825174825,Logistic regression
ROC,0.0345378957467221,0.4825174825174825,Logistic regression
ROC,0.0345378957467221,0.48776223776223776,Logistic regression
ROC,0.03517748640869843,0.48776223776223776,Logistic regression
ROC,0.03517748640869843,0.48951048951048953,Logistic regression
ROC,0.03581707707067477,0.48951048951048953,Logistic regression
ROC,0.03581707707067477,0.493006993006993,Logistic regression
ROC,0.03613687240166293,0.493006993006993,Logistic regression
ROC,0.03613687240166293,0.49475524475524474,Logistic regression
ROC,0.03677646306363927,0.49475524475524474,Logistic regression
ROC,0.03677646306363927,0.4965034965034965,Logistic regression
ROC,0.03709625839462744,0.4965034965034965,Logistic regression
ROC,0.03709625839462744,0.4982517482517482,Logistic regression
ROC,0.03741605372561561,0.4982517482517482,Logistic regression
ROC,0.03741605372561561,0.5087412587412588,Logistic regression
ROC,0.03837543971858011,0.5087412587412588,Logistic regression
ROC,0.03837543971858011,0.5104895104895105,Logistic regression
ROC,0.038695235049568275,0.5104895104895105,Logistic regression
ROC,0.038695235049568275,0.5227272727272727,Logistic regression
ROC,0.03901503038055645,0.5227272727272727,Logistic regression
ROC,0.03901503038055645,0.5262237762237763,Logistic regression
ROC,0.04093380236648545,0.5262237762237763,Logistic regression
ROC,0.04093380236648545,0.5384615384615384,Logistic regression
ROC,0.04125359769747362,0.5384615384615384,Logistic regression
ROC,0.04125359769747362,0.541958041958042,Logistic regression
ROC,0.042532779021426284,0.541958041958042,Logistic regression
ROC,0.042532779021426284,0.5437062937062938,Logistic regression
ROC,0.04317236968340262,0.5437062937062938,Logistic regression
ROC,0.04317236968340262,0.5472027972027972,Logistic regression
ROC,0.043492165014390786,0.5472027972027972,Logistic regression
ROC,0.043492165014390786,0.548951048951049,Logistic regression
ROC,0.04477134633834346,0.548951048951049,Logistic regression
ROC,0.04477134633834346,0.5541958041958042,Logistic regression
